variable,full_name,label,value_type,description,categories,categories_label
has_medall_skinprick_qc,BiB_MeDALL.medall_skinprick_qc.has_medall_skinprick_qc,Has medall skin prick qc,decimal,NA,NA,NA
has_medspc,BiB_MeDALL.medall_skinprick_qc.has_medspc,Has MeDALL skin prick QC,decimal,NA,1,has
medspdblassessor,BiB_MeDALL.medall_skinprick_qc.medspdblassessor,MeDALL skin prick double code assessor,decimal,NA,1,Assessor03
medspdblatopy2mm,BiB_MeDALL.medall_skinprick_qc.medspdblatopy2mm,MeDALL skin prick double code atopy indicator: at least one weal >=2mm,decimal,NA,NA,NA
medspdblatopy3mm,BiB_MeDALL.medall_skinprick_qc.medspdblatopy3mm,MeDALL skin prick double code atopy indicator: at least one weal >=3mm,decimal,NA,NA,NA
medspdblbadnegcont,BiB_MeDALL.medall_skinprick_qc.medspdblbadnegcont,MeDALL skin prick double code BAD NEGATIVE CONTROL >=1mm,decimal,NA,NA,NA
medspdblbadposcont,BiB_MeDALL.medall_skinprick_qc.medspdblbadposcont,MeDALL skin prick double code BAD POSITIVE CONTROL <=0mm,decimal,NA,NA,NA
medspdblcat,BiB_MeDALL.medall_skinprick_qc.medspdblcat,MeDALL skin prick double code cat weal mean diameter C,decimal,NA,NA,NA
medspdbldog,BiB_MeDALL.medall_skinprick_qc.medspdbldog,MeDALL skin prick double code dog weal mean diameter D,decimal,NA,NA,NA
medspdblgrassmix,BiB_MeDALL.medall_skinprick_qc.medspdblgrassmix,MeDALL skin prick double code grass mix weal mean diameter G,decimal,NA,NA,NA
medspdblmitedfarim2,BiB_MeDALL.medall_skinprick_qc.medspdblmitedfarim2,MeDALL skin prick double code mite d. farinae M2,decimal,NA,NA,NA
medspdblmitedpterm1,BiB_MeDALL.medall_skinprick_qc.medspdblmitedpterm1,MeDALL skin prick double code mite d. pteronyssinus M1,decimal,NA,NA,NA
medspdblnegcont,BiB_MeDALL.medall_skinprick_qc.medspdblnegcont,MeDALL skin prick double code negative control mean diameter,decimal,NA,NA,NA
medspdblposcont,BiB_MeDALL.medall_skinprick_qc.medspdblposcont,MeDALL skin prick double code positive control mean diameter,decimal,NA,NA,NA
