variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_Dental.dsurvey_5yo.BiBPersonID,BiB_Dental.dsurvey_5yo,BiB_Dental,dsurvey_5yo,BiBPersonID,,text,,,354,354
BiB_Dental.dsurvey_5yo.has_dsurvey_5yo,BiB_Dental.dsurvey_5yo,BiB_Dental,dsurvey_5yo,has_dsurvey_5yo,Has 5yo dental survey,integer,,administration,354,354
BiB_Dental.dsurvey_5yo.AgeMths,BiB_Dental.dsurvey_5yo,BiB_Dental,dsurvey_5yo,AgeMths,"Age at treatment, months",integer,,age,354,354
BiB_Dental.dsurvey_5yo.ddsdt,BiB_Dental.dsurvey_5yo,BiB_Dental,dsurvey_5yo,ddsdt,Number of decayed teeth,integer,,oral_dental_health,354,354
BiB_Dental.dsurvey_5yo.ddsmt,BiB_Dental.dsurvey_5yo,BiB_Dental,dsurvey_5yo,ddsmt,Number of missing teeth,integer,,oral_dental_health,354,354
BiB_Dental.dsurvey_5yo.ddsft,BiB_Dental.dsurvey_5yo,BiB_Dental,dsurvey_5yo,ddsft,Number of filled teeth,integer,,oral_dental_health,354,354
BiB_Dental.dsurvey_5yo.ddsdmft,BiB_Dental.dsurvey_5yo,BiB_Dental,dsurvey_5yo,ddsdmft,"Number of decayed, missing and filled teeth",integer,,oral_dental_health,354,354
BiB_Dental.dsurvey_5yo.ddscareindex,BiB_Dental.dsurvey_5yo,BiB_Dental,dsurvey_5yo,ddscareindex,Number of filled teeth divided by the dmft,float,,oral_dental_health,354,354
BiB_Dental.dental_ga.BiBPersonID,BiB_Dental.dental_ga,BiB_Dental,dental_ga,BiBPersonID,BiB Person Identifier,text,,,1299,1253
BiB_Dental.dental_ga.has_dental_ga,BiB_Dental.dental_ga,BiB_Dental,dental_ga,has_dental_ga,Has dental extractions under ga,integer,,administration,1299,1253
BiB_Dental.dental_ga.AgeMths,BiB_Dental.dental_ga,BiB_Dental,dental_ga,AgeMths,"Age at treatment, months",integer,,age,1297,1251
BiB_Dental.dental_ga.GAType,BiB_Dental.dental_ga,BiB_Dental,dental_ga,GAType,Type of dental extraction under GA,categorical,[1 Exodontia] [2 Comprehensive care],administration,1299,1253
BiB_Dental.dental_ga.GATotal,BiB_Dental.dental_ga,BiB_Dental,dental_ga,GATotal,Total number of GAs for dental extraction,integer,,administration,1088,1071
BiB_Dental.dental_ga.GASequence,BiB_Dental.dental_ga,BiB_Dental,dental_ga,GASequence,GA number in sequence,integer,,administration,1088,1071
BiB_Dental.dental_ga.Weight,BiB_Dental.dental_ga,BiB_Dental,dental_ga,Weight,Weight,float,,anthropometry,1091,1063
BiB_Dental.dental_ga.dgaUR6,BiB_Dental.dental_ga,BiB_Dental,dental_ga,dgaUR6,Location of adult tooth,categorical,[0 Nil treatment] [1 Extracted] [2 Filled] [3 Sealed] [4 Crowned],oral_dental_health,1297,1252
BiB_Dental.dental_ga.dgaURE,BiB_Dental.dental_ga,BiB_Dental,dental_ga,dgaURE,Location of baby tooth,categorical,[0 Nil treatment] [1 Extracted] [2 Filled] [3 Sealed] [4 Crowned],oral_dental_health,1297,1251
BiB_Dental.dental_ga.dgaURD,BiB_Dental.dental_ga,BiB_Dental,dental_ga,dgaURD,Location of baby tooth,categorical,[0 Nil treatment] [1 Extracted] [2 Filled] [3 Sealed] [4 Crowned],oral_dental_health,1295,1249
BiB_Dental.dental_ga.dgaURC,BiB_Dental.dental_ga,BiB_Dental,dental_ga,dgaURC,Location of baby tooth,categorical,[0 Nil treatment] [1 Extracted] [2 Filled] [3 Sealed] [4 Crowned],oral_dental_health,1298,1252
BiB_Dental.dental_ga.dgaURB,BiB_Dental.dental_ga,BiB_Dental,dental_ga,dgaURB,Location of baby tooth,categorical,[0 Nil treatment] [1 Extracted] [2 Filled] [3 Sealed] [4 Crowned],oral_dental_health,1298,1252
BiB_Dental.dental_ga.dgaURA,BiB_Dental.dental_ga,BiB_Dental,dental_ga,dgaURA,Location of baby tooth,categorical,[0 Nil treatment] [1 Extracted] [2 Filled] [3 Sealed] [4 Crowned],oral_dental_health,1295,1251
BiB_Dental.dental_ga.dgaULA,BiB_Dental.dental_ga,BiB_Dental,dental_ga,dgaULA,Location of baby tooth,categorical,[0 Nil treatment] [1 Extracted] [2 Filled] [3 Sealed] [4 Crowned],oral_dental_health,1296,1251
