project,table,variable
BiBBS_Geographic,bibbs_geog_person,PersonID
BiBBS_Geographic,bibbs_geog_person,ParticipantType
BiBBS_Geographic,bibbs_geog_person,age_m
BiBBS_Geographic,bibbs_geog_person,age_closest_data_point
BiBBS_Geographic,bibbs_geog_person,date
BiBBS_Geographic,bibbs_geog_person,date_address_data_received
BiBBS_Geographic,bibbs_geog_person,months_to_closest_data_received
BiBBS_Geographic,bibbs_geog_person,property_id
BiBBS_Geographic,bibbs_geog_person,move_no
BiBBS_Geographic,bibbs_geog_person,total_moves
BiBBS_Geographic,bibbs_geog_person,LSOA11CD
BiBBS_Geographic,bibbs_geog_person,data_source
BiBBS_Geographic,bibbs_geog_person,not_in_eng_wales
BiBBS_Geographic,bibbs_geog_person,no_historical_address_data
BiBBS_Geographic,bibbs_geog_person,low_qual_data
BiBBS_Geographic,bibbs_geog_person,is_data_interpolated
BiBBS_Geographic,bibbs_geog_property,property_id
BiBBS_Geographic,bibbs_geog_property,UPRN
BiBBS_Geographic,bibbs_geog_property,x_coordinate_bng
BiBBS_Geographic,bibbs_geog_property,y_coordinate_bng
BiBBS_Geographic,bibbs_geog_property,x_coordinate_wgs84
BiBBS_Geographic,bibbs_geog_property,y_coordinate_wgs84
BiBBS_Geographic,bibbs_geog_property,postcode
BiBBS_Geographic,bibbs_geog_property,LSOA11CD
BiBBS_Geographic,bibbs_geog_property,WD21CD
BiBBS_Geographic,bibbs_geog_property,property_type
BiBBS_Geographic,bibbs_geog_property,is_in_bfd_la
BiBBS_Geographic,bibbs_geog_property,is_in_bibbs_area
BiBBS_Geographic,bibbs_geog_property,is_in_caz
BiBBS_Geographic,bibbs_geog_lsoa,LSOA11CD
BiBBS_Geographic,bibbs_geog_lsoa,IMD_2010_decile
BiBBS_Geographic,bibbs_geog_lsoa,IMD_2010_score
BiBBS_Geographic,bibbs_geog_lsoa,IMD_2019_decile
BiBBS_Geographic,bibbs_geog_lsoa,IMD_2019_score
BiBBS_Geographic,bibbs_geog_lsoa,IMD_2019_decile_bfd
BiBBS_Geographic,bibbs_geog_lsoa,IDACI_2019_decile
BiBBS_Geographic,bibbs_geog_lsoa,IDACI_2019_score
BiBBS_Geographic,bibbs_geog_lsoa,TDI_2011_score
BiBBS_Geographic,bibbs_geog_lsoa,TDI_2011_quintile
BiBBS_Geographic,bibbs_geog_lsoa,carstairs_index_2011
BiBBS_Geographic,bibbs_geog_air_quality,property_id
BiBBS_Geographic,bibbs_geog_air_quality,aq_2018_defrapm10_g_1_100_mean
BiBBS_Geographic,bibbs_geog_air_quality,aq_2018_defrapm10_g_1_100_max
BiBBS_Geographic,bibbs_geog_air_quality,aq_2018_defrapm10_g_1_300_mean
BiBBS_Geographic,bibbs_geog_air_quality,aq_2018_defrapm10_g_1_300_max
BiBBS_Geographic,bibbs_geog_air_quality,aq_2018_defrapm10_g_1_500_mean
