variable,full_name,label,value_type,description,categories,categories_label
Cohort,COVID19_Survey.child_phase2_covid.Cohort,Cohort,text,,,
Gender,COVID19_Survey.child_phase2_covid.Gender,Child's gender,decimal,,1|2,Male|Female
age_in_years,COVID19_Survey.child_phase2_covid.age_in_years,Age in years,decimal,,,
ethnicity_mother,COVID19_Survey.child_phase2_covid.ethnicity_mother,Ethnic group (mother),decimal,,1|2|3,White British|Pakistani|Other
ward,COVID19_Survey.child_phase2_covid.ward,Ward as at March 2020,text,,,
imdrank,COVID19_Survey.child_phase2_covid.imdrank,IMD 2019 National Rank (1 = most deprived),decimal,,,
imddecile,COVID19_Survey.child_phase2_covid.imddecile,IMD 2019 National Decile (1 = most deprived),decimal,,,
edcont_ethnic_origin,COVID19_Survey.child_phase2_covid.edcont_ethnic_origin,Child Ethnic Origin Code,decimal,,1|10|2|3|4|5|6|7|8|9,Bangladeshi|Other Ethnic Groups|Indian|Pakistani|Chinese/ Other Asian|African|Black Carribbean/ Black Other|Mixed|White British|White Other
edcont_eal,COVID19_Survey.child_phase2_covid.edcont_eal,Whether English is an adittional language,decimal,,1|2|3,No|Unknown|Yes
edcont_fsm,COVID19_Survey.child_phase2_covid.edcont_fsm,Whether child in receipt of freee school meals,decimal,,1|2,No|Yes
edcont_sen,COVID19_Survey.child_phase2_covid.edcont_sen,Special educational needs catagory,decimal,,1|2|3|4|5|6,EHCP|Not SEN|SEN Support|School Action|School Action Plus|Statement
c19c2_date_id,COVID19_Survey.child_phase2_covid.c19c2_date_id,Please write todays date,date,,,
chys_7timesleep_c19c2,COVID19_Survey.child_phase2_covid.chys_7timesleep_c19c2,1A) In the last 7 days what time have you normally fallen asleep (please write):,text,,,
chys_7wknp_c19c2,COVID19_Survey.child_phase2_covid.chys_7wknp_c19c2,1B) In the last 7 days what time have you normally woken up (please write):,text,,,
chfl_7physactwkdy_c19c2,COVID19_Survey.child_phase2_covid.chfl_7physactwkdy_c19c2,2A) On a normal weekday (Monday to Friday) (please tick one),decimal,,1|2|3|4|5,No activity (0 minutes)|Small amount of activity (1 to 30 minutes)|Small to Moderate amount activity (31 to 60 minutes)|Moderate to Large amount of activity (1 to 2 hours)|Large amount of activity (more than 2 hours)
chfl_7physactwknd_c19c2,COVID19_Survey.child_phase2_covid.chfl_7physactwknd_c19c2,   2B) On a normal weekend day (Saturday and Sunday) (please tick one),decimal,,1|2|3|4|5,No activity (0 minutes)|Small amount of activity (1 to 30 minutes)|Small to Moderate amount activity (31 to 60 minutes)|Moderate to Large amount of activity (1 to 2 hours)|Large amount of activity (more than 2 hours)
c19c2_chfl_acttrvl_mor,COVID19_Survey.child_phase2_covid.c19c2_chfl_acttrvl_mor,"If in school holidays: When you are at school, on how many mornings do you activ",decimal,,1|2|3|4|5,None|1 time last week|2-3 times last week|4 times last week|5 times last week
c19c2_chfl_brktme_act,COVID19_Survey.child_phase2_covid.c19c2_chfl_brktme_act,"If in school holidays or not currently going to school: when you are at school,",decimal,,1|2|3|4|5,"Sat down (talking, reading, doing schoolwork)|Stood around or walked around|Ran or played a little bit|Ran around and played quite a bit|Ran and played hard most of the time"
c19c2_chfl_lchtme_act,COVID19_Survey.child_phase2_covid.c19c2_chfl_lchtme_act,If in school holidays: when you are at school what do you normally do at lunch (,decimal,,1|2|3|4|5,"Sat down (talking, reading, doing schoolwork)|Stood around or walked around|Ran or played a little bit|Ran around and played quite a bit|Ran and played hard most of the time"
c19c2_chfl_acttrvl_aft,COVID19_Survey.child_phase2_covid.c19c2_chfl_acttrvl_aft,"If in school holidays: when you are at school, on how many afternoons do you act",decimal,,1|2|3|4|5,None|1 time last week|2-3 times last week|4 times last week|5 times last week
c19c2_chfl_actsprt_aftscl,COVID19_Survey.child_phase2_covid.c19c2_chfl_actsprt_aftscl,"If in school holidays: when you are at school, on how many days right after scho",decimal,,1|2|3|4|5,None|1 time last week|2-3 times last week|4 times last week|5 times last week
c19c2_chfl_actsprt_eve,COVID19_Survey.child_phase2_covid.c19c2_chfl_actsprt_eve,"If in school holidays: when you are at school, on how many evenings (from tea ti",decimal,,1|2|3|4|5,None|1 time last week|2-3 times last week|4 times last week|5 times last week
c19c2_chfl_actsprt_wknd,COVID19_Survey.child_phase2_covid.c19c2_chfl_actsprt_wknd,"2I) On the last weekend (Saturday and Sunday), how many times did you do sports,",decimal,,1|2|3|4|5,None|1 time|2-3 times|4-5 times|6 times or more
chtss_7timesitly_c19c2,COVID19_Survey.child_phase2_covid.chtss_7timesitly_c19c2,"3A) In the last 7 days, on a normal day, how much time have you spent sitting or",decimal,,1|2|3|4|5,I spent almost none of my free time sitting or lying down|I spent little time sitting during my free time or lying down|I spent about half of my free time sitting or lying down|I spent a lot of time sitting during my free time or lying down|I spent almost all of my free time sitting or lying down
chtss_7timesitlyacttv_c19c2,COVID19_Survey.child_phase2_covid.chtss_7timesitlyacttv_c19c2,Watching TV but NOT time spent playing video games,decimal,,1|2|3|4|5,No time|1 hour or less|1-2 hours|3-4 hours|4+ hours
chtss_7timesitlyactvg_c19c2,COVID19_Survey.child_phase2_covid.chtss_7timesitlyactvg_c19c2,"Playing video games on a game console (e.g. Playstation or Switch), mobile phone",decimal,,1|2|3|4|5,No time|1 hour or less|1-2 hours|3-4 hours|4+ hours
chtss_7timesitlyactcom_c19c2,COVID19_Survey.child_phase2_covid.chtss_7timesitlyactcom_c19c2,"Using computers/tablets for social activity (e.g. Instagram, Facebook), surfing",decimal,,1|2|3|4|5,No time|1 hour or less|1-2 hours|3-4 hours|4+ hours
chtss_7timesitlyactmb_c19c2,COVID19_Survey.child_phase2_covid.chtss_7timesitlyactmb_c19c2,"Using your mobile phone to talk, text, or socialise (Instagram and Facebook) but",decimal,,1|2|3|4|5,No time|1 hour or less|1-2 hours|3-4 hours|4+ hours
chtss_7timesitlyactschw_c19c2,COVID19_Survey.child_phase2_covid.chtss_7timesitlyactschw_c19c2,"Doing school work in books or on a computer/tablet (e.g. maths, reading, topic w",decimal,,1|2|3|4|5,No time|1 hour or less|1-2 hours|3-4 hours|4+ hours
c19c2_chsch_rtn,COVID19_Survey.child_phase2_covid.c19c2_chsch_rtn,"4A) First, wed like to know whether you have gone back to school.",decimal,,0|1,No|Yes (go to question 4c)
c19c2_chsch_rtn_no,COVID19_Survey.child_phase2_covid.c19c2_chsch_rtn_no,"4B) If No, what is the main reason you havent gone back?",text,,,
c19c2_chsch_dyswk,COVID19_Survey.child_phase2_covid.c19c2_chsch_dyswk,4C) How many days do you normally go to school each week?,decimal,,1|2|3,1-2 days a week|3-4 days a week|5 days a week
c19c2_chsch_yr,COVID19_Survey.child_phase2_covid.c19c2_chsch_yr,4D) What year group are you in now?,decimal,,1|2|3|4|5|6,Year 4|Year 5|Year 6|Year 7|Year 8|Year 9
c19c2_chsch_nwsch,COVID19_Survey.child_phase2_covid.c19c2_chsch_nwsch,4E) Have you started a new school?,decimal,,0|1,No|Yes
c19c2_chsch_nwtch,COVID19_Survey.child_phase2_covid.c19c2_chsch_nwtch,4F) Have you got a new teacher? (If you are in secondary school we mean new form,decimal,,0|1,No|Yes
c19c2_chsch_hpysch,COVID19_Survey.child_phase2_covid.c19c2_chsch_hpysch,I was happy to go back to school,decimal,,1|2|3|4|5,I agree a lot|I agree a little|Neither agree or disagree|I disagree a little|I disagree a lot
c19c2_chsch_scdsch,COVID19_Survey.child_phase2_covid.c19c2_chsch_scdsch,I was scared to go back to school,decimal,,1|2|3|4|5,I agree a lot|I agree a little|Neither agree or disagree|I disagree a little|I disagree a lot
c19c2_chsch_fgtn,COVID19_Survey.child_phase2_covid.c19c2_chsch_fgtn,I was worried I had forgotten lots of things during lockdown,decimal,,1|2|3|4|5,I agree a lot|I agree a little|Neither agree or disagree|I disagree a little|I disagree a lot
c19c2_chsch_lrnscl,COVID19_Survey.child_phase2_covid.c19c2_chsch_lrnscl,I find it easier to learn things at school than at home,decimal,,1|2|3|4|5,I agree a lot|I agree a little|Neither agree or disagree|I disagree a little|I disagree a lot
c19c2_chsch_pasch,COVID19_Survey.child_phase2_covid.c19c2_chsch_pasch,I am more physically active at school,decimal,,1|2|3|4|5,I agree a lot|I agree a little|Neither agree or disagree|I disagree a little|I disagree a lot
