variable,full_name,label,value_type,description,categories,categories_label
has_base_m_survey_p1,BiB_Baseline.base_m_survey_p1.has_base_m_survey_p1,Has mother baseline survey,decimal,,,
agemm_mbqall_p1,BiB_Baseline.base_m_survey_p1.agemm_mbqall_p1,Mother age (months): Maternal Baseline Questionnaire,decimal,,,
agemy_mbqall_p1,BiB_Baseline.base_m_survey_p1.agemy_mbqall_p1,Mother age (years): Maternal Baseline Questionnaire,decimal,,,
alc03mb4dr_p1,BiB_Baseline.base_m_survey_p1.alc03mb4dr_p1,Don't remember average/max units drank per week in 3 months before pregnancy,decimal,,1|2|3,Don't remember not specified|Don't remember average units per week|Don't remember max units
alc04thmdr_p1,BiB_Baseline.base_m_survey_p1.alc04thmdr_p1,Don't remember maximum units drank at one time since 4th month of pregnancy,decimal,,1|2|3,Don't remember not specified|Don't remember average units per week|Don't remember max units
alc05u3mb4_p1,BiB_Baseline.base_m_survey_p1.alc05u3mb4_p1,Frequency of 5 or more units of alcohol consumed in 3 months before pregnancy,decimal,,1|2|3|4|5|6,Everyday|Nearly everyday|1-4 times/week|1-3 times a month|Rarely|Never
alc05u4thm_p1,BiB_Baseline.base_m_survey_p1.alc05u4thm_p1,Frequency of 5 or more units of alcohol consumed since 4th month of pregnancy,decimal,,1|2|3|4|5|6,Everyday|Nearly everyday|1-4 times/week|1-3 times a month|Rarely|Never
alc05ufr3m_p1,BiB_Baseline.base_m_survey_p1.alc05ufr3m_p1,Frequency of 5 or more units of alcohol consumed in first 3 months of pregnancy,decimal,,1|2|3|4|5|6,Everyday|Nearly everyday|1-4 times/week|1-3 times a month|Rarely|Never
alc0brav3b_p1,BiB_Baseline.base_m_survey_p1.alc0brav3b_p1,Average units of beer per week in 3 months before pregnancy,decimal,,,
alc0brav4m_p1,BiB_Baseline.base_m_survey_p1.alc0brav4m_p1,Average units of beer per week since 4th month of pregnancy,decimal,,,
alc0bravf3_p1,BiB_Baseline.base_m_survey_p1.alc0bravf3_p1,Average units of beer per week in first 3 months of pregnancy,decimal,,,
alc0brmx3b_p1,BiB_Baseline.base_m_survey_p1.alc0brmx3b_p1,Maximum units of beer at one time in 3 months before pregnancy,decimal,,,
alc0brmx4m_p1,BiB_Baseline.base_m_survey_p1.alc0brmx4m_p1,Maximum units of beer at one time since 4th month of pregnancy,decimal,,,
alc0brmxf3_p1,BiB_Baseline.base_m_survey_p1.alc0brmxf3_p1,Maximum units of beer at one time in first 3 months of pregnancy,decimal,,,
alc0dr3mb4_p1,BiB_Baseline.base_m_survey_p1.alc0dr3mb4_p1,Mother drank alcohol 3 months before pregnancy,decimal,,1|2|3|4|5,"Yes, once a week|Yes, occasionally|Yes, not specified|No|Don't remember"
alc0dr4thm_p1,BiB_Baseline.base_m_survey_p1.alc0dr4thm_p1,Mother drank alcohol since 4th month of pregnancy,decimal,,1|2|3|4|5,"Yes, once a week|Yes, occasionally|Yes, not specified|No|Don't remember"
alc0drfr3m_p1,BiB_Baseline.base_m_survey_p1.alc0drfr3m_p1,Mother drank alcohol in the first 3 months of pregnancy,decimal,,1|2|3|4|5,"Yes, once a week|Yes, occasionally|Yes, not specified|No|Don't remember"
alc0drpreg_p1,BiB_Baseline.base_m_survey_p1.alc0drpreg_p1,Mother drank alcohol during pregnancy or 3 months before,decimal,,1|2|3,Yes|No|Don't remember
alc0fr3mdr_p1,BiB_Baseline.base_m_survey_p1.alc0fr3mdr_p1,Don't remember maximum units drank at one time in first 3 months of pregnancy,decimal,,1|2|3,Don't remember not specified|Don't remember average units per week|Don't remember max units
alc0oaav3b_p1,BiB_Baseline.base_m_survey_p1.alc0oaav3b_p1,Average units of other alcohol per week in 3 months before pregnancy,decimal,,,
alc0oaav4m_p1,BiB_Baseline.base_m_survey_p1.alc0oaav4m_p1,Average units of other alcohol per week since 4th month of pregnancy,decimal,,,
alc0oaavf3_p1,BiB_Baseline.base_m_survey_p1.alc0oaavf3_p1,Average units of other alcohol per week in first 3 months of pregnancy,decimal,,,
alc0oamx3b_p1,BiB_Baseline.base_m_survey_p1.alc0oamx3b_p1,Maximum units of other alcohol at one time in 3 months before pregnancy,decimal,,,
alc0oamx4m_p1,BiB_Baseline.base_m_survey_p1.alc0oamx4m_p1,Maximum units of other alcohol at one time since 4th month of pregnancy,decimal,,,
alc0oamxf3_p1,BiB_Baseline.base_m_survey_p1.alc0oamxf3_p1,Maximum units of other alcohol at one time in first 3 months of pregnancy,decimal,,,
alc0spav3b_p1,BiB_Baseline.base_m_survey_p1.alc0spav3b_p1,Average units of spirits per week in 3 months before pregnancy,decimal,,,
alc0spav4m_p1,BiB_Baseline.base_m_survey_p1.alc0spav4m_p1,Average units of spirits per week since 4th month of pregnancy,decimal,,,
alc0spavf3_p1,BiB_Baseline.base_m_survey_p1.alc0spavf3_p1,Average units of spirits per week in first 3 months of pregnancy,decimal,,,
alc0spmx3b_p1,BiB_Baseline.base_m_survey_p1.alc0spmx3b_p1,Maximum units of spirits at one time in the 3 months before pregnancy,decimal,,,
alc0spmx4m_p1,BiB_Baseline.base_m_survey_p1.alc0spmx4m_p1,Maximum units of spirits at one time since 4th month of pregnancy,decimal,,,
alc0spmxf3_p1,BiB_Baseline.base_m_survey_p1.alc0spmxf3_p1,Maximum units of spirits at one time in first 3 months of pregnancy,decimal,,,
alc0wnav3b_p1,BiB_Baseline.base_m_survey_p1.alc0wnav3b_p1,Average units of wine per week in 3 months before pregnancy,decimal,,,
alc0wnav4m_p1,BiB_Baseline.base_m_survey_p1.alc0wnav4m_p1,Average units of wine per week since 4th month of pregnancy,decimal,,,
alc0wnavf3_p1,BiB_Baseline.base_m_survey_p1.alc0wnavf3_p1,Average units of wine per week in first 3 months of pregnancy,decimal,,,
alc0wnmx3b_p1,BiB_Baseline.base_m_survey_p1.alc0wnmx3b_p1,Maximum units of wine at one time in 3 months before pregnancy,decimal,,,
alc0wnmx4m_p1,BiB_Baseline.base_m_survey_p1.alc0wnmx4m_p1,Maximum units of wine at one time since 4th month of pregnancy,decimal,,,
alc0wnmxf3_p1,BiB_Baseline.base_m_survey_p1.alc0wnmxf3_p1,Maximum units of wine at one time in first 3 months of pregnancy,decimal,,,
ben0carall_p1,BiB_Baseline.base_m_survey_p1.ben0carall_p1,Carer's allowance,decimal,,1|2,Yes|No
ben0chdben_p1,BiB_Baseline.base_m_survey_p1.ben0chdben_p1,Child benefit,decimal,,1|2,Yes|No
ben0chdtxc_p1,BiB_Baseline.base_m_survey_p1.ben0chdtxc_p1,Child Tax credit,decimal,,1|2,Yes|No
ben0disbla_p1,BiB_Baseline.base_m_survey_p1.ben0disbla_p1,Disability living allowance,decimal,,1|2,Yes|No
ben0dnwtoa_p1,BiB_Baseline.base_m_survey_p1.ben0dnwtoa_p1,Does not wish to answer,decimal,,1|2,Yes|No
ben0dontkw_p1,BiB_Baseline.base_m_survey_p1.ben0dontkw_p1,Don't know,decimal,,1|2,Yes|No
ben0houseb_p1,BiB_Baseline.base_m_survey_p1.ben0houseb_p1,Housing benefit,decimal,,1|2,Yes|No
ben0incapb_p1,BiB_Baseline.base_m_survey_p1.ben0incapb_p1,Incapacity benefit,decimal,,1|2,Yes|No
ben0incsup_p1,BiB_Baseline.base_m_survey_p1.ben0incsup_p1,Income support,decimal,,1|2,Yes|No
ben0intjsa_p1,BiB_Baseline.base_m_survey_p1.ben0intjsa_p1,Income tested job seekers allowance,decimal,,1|2,Yes|No
ben0mentst_p1,BiB_Baseline.base_m_survey_p1.ben0mentst_p1,Means tested benefits received,decimal,,1|2,Yes|No
ben0nobenf_p1,BiB_Baseline.base_m_survey_p1.ben0nobenf_p1,None,decimal,,1|2,Yes|No
ben0othbnm_p1,BiB_Baseline.base_m_survey_p1.ben0othbnm_p1,Other benefits received,text,,,
ben0otherb_p1,BiB_Baseline.base_m_survey_p1.ben0otherb_p1,Other benefits,decimal,,1|2,Yes|No
ben0pencrd_p1,BiB_Baseline.base_m_survey_p1.ben0pencrd_p1,Pension credit,decimal,,1|2,Yes|No
ben0wrktxc_p1,BiB_Baseline.base_m_survey_p1.ben0wrktxc_p1,Working Tax credit,decimal,,1|2,Yes|No
brd0brolls_p1,BiB_Baseline.base_m_survey_p1.brd0brolls_p1,Baps/rolls eaten per week,decimal,,,
brd0brwbrd_p1,BiB_Baseline.base_m_survey_p1.brd0brwbrd_p1,Slices of brown bread eaten per week,decimal,,,
brd0nnptbg_p1,BiB_Baseline.base_m_survey_p1.brd0nnptbg_p1,Naan/pitta bread/bagel eaten per week,decimal,,,
brd0othbrd_p1,BiB_Baseline.base_m_survey_p1.brd0othbrd_p1,Other bread products eaten per week,decimal,,,
brd0othpro_p1,BiB_Baseline.base_m_survey_p1.brd0othpro_p1,Description of other bread products eaten,text,,,
brd0parath_p1,BiB_Baseline.base_m_survey_p1.brd0parath_p1,Parathas eaten per week,decimal,,,
brd0pizzas_p1,BiB_Baseline.base_m_survey_p1.brd0pizzas_p1,Slices of pizza eaten per week,decimal,,,
brd0rotich_p1,BiB_Baseline.base_m_survey_p1.brd0rotich_p1,Roti/chappatis eaten per week,decimal,,,
brd0whtbrd_p1,BiB_Baseline.base_m_survey_p1.brd0whtbrd_p1,Slices of white bread eaten per week,decimal,,,
cdr0chgflg_p1,BiB_Baseline.base_m_survey_p1.cdr0chgflg_p1,Data change based on cleaning rules,decimal,,,
cdr0clcfpd_p1,BiB_Baseline.base_m_survey_p1.cdr0clcfpd_p1,"Number of cups of cola (regular, caffeinated) per day",decimal,,,
cdr0clcfpw_p1,BiB_Baseline.base_m_survey_p1.cdr0clcfpw_p1,"Number of cups of cola (regular, caffeinated) per week",decimal,,,
cdr0cldcpd_p1,BiB_Baseline.base_m_survey_p1.cdr0cldcpd_p1,"Number of cups of cola (regular, decaffeinated) per day",decimal,,,
cdr0cldcpw_p1,BiB_Baseline.base_m_survey_p1.cdr0cldcpw_p1,"Number of cups of cola (regular, decaffeinated) per week",decimal,,,
cdr0dccfpd_p1,BiB_Baseline.base_m_survey_p1.cdr0dccfpd_p1,Number of cups of diet cola (caffeinated) per day,decimal,,,
cdr0dccfpw_p1,BiB_Baseline.base_m_survey_p1.cdr0dccfpw_p1,Number of cups of diet cola (caffeinated) per week,decimal,,,
cdr0dcdcpd_p1,BiB_Baseline.base_m_survey_p1.cdr0dcdcpd_p1,Number of cups of diet cola (decaffeinated) per day,decimal,,,
