variable,full_name,label,value_type,description,categories,categories_label
has_base_f_survey_p3,BiB_Baseline.base_f_survey_p3.has_base_f_survey_p3,Has father baseline survey,decimal,NA,NA,NA
agefm_fbqall_p3,BiB_Baseline.base_f_survey_p3.agefm_fbqall_p3,Father age (months): Father baseline questionnaire,decimal,NA,NA,NA
agefy_fbqall_p3,BiB_Baseline.base_f_survey_p3.agefy_fbqall_p3,Father age (years): Father baseline questionnaire,decimal,NA,NA,NA
fbqageeduc_p3,BiB_Baseline.base_f_survey_p3.fbqageeduc_p3,Age completed education,decimal,NA,1|2|3,16 or under|17-19|20 or over
fbqageuk_p3,BiB_Baseline.base_f_survey_p3.fbqageuk_p3,Age moved to the UK,decimal,NA,NA,NA
fbqalcohol_p3,BiB_Baseline.base_f_survey_p3.fbqalcohol_p3,Do you drink alcohol,decimal,NA,1|2,Yes|No
fbqalcoholamt_p3,BiB_Baseline.base_f_survey_p3.fbqalcoholamt_p3,Weekly average no. of units,decimal,NA,NA,NA
fbqbiosample_p3,BiB_Baseline.base_f_survey_p3.fbqbiosample_p3,Was a biological sample taken,decimal,NA,1|2,Yes|No
fbqcountrybirth_p3,BiB_Baseline.base_f_survey_p3.fbqcountrybirth_p3,Country born,decimal,NA,1|2|3,United Kingdom|Pakistan|Other
fbqcountrybirthother_p3,BiB_Baseline.base_f_survey_p3.fbqcountrybirthother_p3,Country of birth if other,text,NA,NA,NA
fbqethnicgrp_p3,BiB_Baseline.base_f_survey_p3.fbqethnicgrp_p3,Ethnic group,decimal,NA,1|2|3|4|5|6,White|Mixed|Black/Black British|Asian/Asian British|Chinese|Other
fbqethnicgrpother_p3,BiB_Baseline.base_f_survey_p3.fbqethnicgrpother_p3,Ethnic group if other,text,NA,NA,NA
fbqheight_p3,BiB_Baseline.base_f_survey_p3.fbqheight_p3,Father's height (cm),decimal,NA,NA,NA
fbqjobtitle_p3,BiB_Baseline.base_f_survey_p3.fbqjobtitle_p3,Job title,text,NA,NA,NA
fbqobstime_p3,BiB_Baseline.base_f_survey_p3.fbqobstime_p3,How did date of completion relate to point of mother's pregnancy?,decimal,NA,1|2|3|4|5|6,Scan 1 - dating scan|Scan 2 - 20 wk scan|GTT|Delivery|Post natal ward|Other
fbqobstimeother_p3,BiB_Baseline.base_f_survey_p3.fbqobstimeother_p3,Specify other time point in mother's pregnancy,text,NA,NA,NA
fbqquestadmin_p3,BiB_Baseline.base_f_survey_p3.fbqquestadmin_p3,Questionnaire administered independently or assisted,decimal,NA,1|2,Independently|Assisted
fbqquestlang_p3,BiB_Baseline.base_f_survey_p3.fbqquestlang_p3,Language used to complete questionnaire,decimal,NA,1|2|3,English|Mirpuri/Punjabi|Urdu
fbqselfemployed_p3,BiB_Baseline.base_f_survey_p3.fbqselfemployed_p3,Are/were you self-employed,decimal,NA,1|2,Yes|No
fbqsmokes_p3,BiB_Baseline.base_f_survey_p3.fbqsmokes_p3,Do you smoke cigarettes nowadays,decimal,NA,1|2,Yes|No
fbqsmokesamt_p3,BiB_Baseline.base_f_survey_p3.fbqsmokesamt_p3,How many cigarettes per day,decimal,NA,1|2|3|4|5|6,Less than 1 a day|1-5|6-10|11-20|Over 20|Don't know
fbqweight_p3,BiB_Baseline.base_f_survey_p3.fbqweight_p3,Father's weight (kg),decimal,NA,NA,NA
fbqworkforce_p3,BiB_Baseline.base_f_survey_p3.fbqworkforce_p3,No. people work at your place of work,decimal,NA,NA,NA
fbqworklevel_p3,BiB_Baseline.base_f_survey_p3.fbqworklevel_p3,Level worked at,decimal,NA,1|2|3,Manager|Supervisor|Other employee
has_fbqall_p3,BiB_Baseline.base_f_survey_p3.has_fbqall_p3,Has: Father baseline questionnaire,decimal,NA,1,has
