variable,full_name,label,value_type,description,categories,categories_label
has_bib1000_12m_bib12n,BiB_1000.bib1000_12m_bib12n.has_bib1000_12m_bib12n,Has bib 1000 12 month child nutrients intake,decimal,,,
agecm_bib12n,BiB_1000.bib1000_12m_bib12n.agecm_bib12n,Child age (months): BiB1000 12 month child nutrients intake,decimal,,,
agecy_bib12n,BiB_1000.bib1000_12m_bib12n.agecy_bib12n,Child age (years): BiB1000 12 month child nutrients intake,decimal,,,
bib12ncalcium,BiB_1000.bib1000_12m_bib12n.bib12ncalcium,Calcium (mg/day),decimal,,,
bib12ncarbohydrate,BiB_1000.bib1000_12m_bib12n.bib12ncarbohydrate,Carbohydrate (g/day),decimal,,,
bib12ncarbohydrate_cat,BiB_1000.bib1000_12m_bib12n.bib12ncarbohydrate_cat,Carbohydrate (g/day) (categorised into thirds),decimal,,1|2|3,lowest third|middle third|highest third
bib12nchloride,BiB_1000.bib1000_12m_bib12n.bib12nchloride,Chloride (mg/day),decimal,,,
bib12ncholest,BiB_1000.bib1000_12m_bib12n.bib12ncholest,Cholesterol (g/day),decimal,,,
bib12ncopper,BiB_1000.bib1000_12m_bib12n.bib12ncopper,Copper (mg/day),decimal,,,
bib12nenergyfromcho,BiB_1000.bib1000_12m_bib12n.bib12nenergyfromcho,Energy from carbohydrate (kcal),decimal,,,
bib12nenergyfromcho_cat,BiB_1000.bib1000_12m_bib12n.bib12nenergyfromcho_cat,energy from carbohydrate (kcal) (categorised into thirds),decimal,,1|2|3,lowest third|middle third|highest third
bib12nenergyfromfat,BiB_1000.bib1000_12m_bib12n.bib12nenergyfromfat,Energy from fat (kcal),decimal,,,
bib12nenergyfromfat_cat,BiB_1000.bib1000_12m_bib12n.bib12nenergyfromfat_cat,energy from fat (kcal) (categorised into thirds),decimal,,1|2|3,lowest third|middle third|highest third
bib12nenergyfromsugar,BiB_1000.bib1000_12m_bib12n.bib12nenergyfromsugar,Energy from sugars (kcal),decimal,,,
bib12nenglyst,BiB_1000.bib1000_12m_bib12n.bib12nenglyst,Englyst fibre (g/day),decimal,,,
bib12nenglyst_cat,BiB_1000.bib1000_12m_bib12n.bib12nenglyst_cat,Englyst fibre (g/day) (categorised into thirds),decimal,,1|2|3,lowest third|middle third|highest third
bib12nfat,BiB_1000.bib1000_12m_bib12n.bib12nfat,Fat (g/day),decimal,,,
